Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2019-06-25 23:00:00;0,40;R;19;R
0123456789;2019-06-25 22:00:00;0,39;R;20;R
0123456789;2019-06-25 21:00:00;2,02;R;21;R
0123456789;2019-06-25 20:00:00;2,45;R;23;R
0123456789;2019-06-25 19:00:00;0,99;R;22;R
0123456789;2019-06-25 18:00:00;1,19;R;24;R
0123456789;2019-06-25 17:00:00;0,56;R;25;R
0123456789;2019-06-25 16:00:00;0,95;R;24;R
0123456789;2019-06-25 15:00:00;0,84;R;23;R
0123456789;2019-06-25 14:00:00;0,71;R;23;R
0123456789;2019-06-25 13:00:00;0,40;R;21;R
0123456789;2019-06-25 12:00:00;0,58;R;19;R
0123456789;2019-06-25 11:00:00;0,85;R;18;R
0123456789;2019-06-25 10:00:00;0,36;R;19;R
0123456789;2019-06-25 09:00:00;2,30;R;19;R
0123456789;2019-06-25 08:00:00;2,04;R;20;R
0123456789;2019-06-25 07:00:00;0,86;R;19;R
0123456789;2019-06-25 06:00:00;0,35;R;18;R
0123456789;2019-06-25 05:00:00;0,41;R;19;R
0123456789;2019-06-25 04:00:00;0,60;R;18;R
0123456789;2019-06-25 03:00:00;0,37;R;18;R
0123456789;2019-06-25 02:00:00;0,38;R;19;R
0123456789;2019-06-25 01:00:00;0,42;R;18;R
0123456789;2019-06-25 00:00:00;1,05;R;19;R
0123456789;2019-06-24 23:00:00;1,39;R;19;R
0123456789;2019-06-24 22:00:00;1,34;R;20;R
0123456789;2019-06-24 21:00:00;0,43;R;21;R
0123456789;2019-06-24 20:00:00;0,74;R;22;R
0123456789;2019-06-24 19:00:00;2,03;R;23;R
0123456789;2019-06-24 18:00:00;3,13;R;24;R
0123456789;2019-06-24 17:00:00;2,21;R;25;R
0123456789;2019-06-24 16:00:00;0,59;R;25;R
0123456789;2019-06-24 15:00:00;0,39;R;25;R
0123456789;2019-06-24 14:00:00;0,37;R;25;R
0123456789;2019-06-24 13:00:00;0,37;R;25;R
0123456789;2019-06-24 12:00:00;0,39;R;25;R
0123456789;2019-06-24 11:00:00;0,38;R;24;R
0123456789;2019-06-24 10:00:00;0,82;R;24;R
0123456789;2019-06-24 09:00:00;0,39;R;23;R
0123456789;2019-06-24 08:00:00;0,44;R;22;R
0123456789;2019-06-24 07:00:00;0,48;R;21;R
0123456789;2019-06-24 06:00:00;0,37;R;19;R
0123456789;2019-06-24 05:00:00;0,40;R;17;R
0123456789;2019-06-24 04:00:00;0,38;R;15;R
0123456789;2019-06-24 03:00:00;0,36;R;12;R
0123456789;2019-06-24 02:00:00;0,40;R;15;R
0123456789;2019-06-24 01:00:00;0,42;R;14;R
0123456789;2019-06-24 00:00:00;0,73;R;15;R
0123456789;2019-06-23 23:00:00;0,41;R;18;R
0123456789;2019-06-23 22:00:00;0,39;R;20;R
0123456789;2019-06-23 21:00:00;0,37;R;22;R
0123456789;2019-06-23 20:00:00;0,39;R;23;R
0123456789;2019-06-23 19:00:00;0,40;R;24;R
0123456789;2019-06-23 18:00:00;0,38;R;25;R
0123456789;2019-06-23 17:00:00;0,57;R;27;R
0123456789;2019-06-23 16:00:00;0,53;R;28;R
0123456789;2019-06-23 15:00:00;0,39;R;28;R
0123456789;2019-06-23 14:00:00;0,37;R;28;R
0123456789;2019-06-23 13:00:00;1,34;R;27;R
0123456789;2019-06-23 12:00:00;2,33;R;26;R
0123456789;2019-06-23 11:00:00;1,67;R;25;R
0123456789;2019-06-23 10:00:00;1,29;R;24;R
0123456789;2019-06-23 09:00:00;0,43;R;23;R
0123456789;2019-06-23 08:00:00;1,35;R;21;R
0123456789;2019-06-23 07:00:00;0,37;R;20;R
0123456789;2019-06-23 06:00:00;0,36;R;19;R
0123456789;2019-06-23 05:00:00;0,35;R;18;R
0123456789;2019-06-23 04:00:00;0,38;R;16;R
0123456789;2019-06-23 03:00:00;0,35;R;16;R
0123456789;2019-06-23 02:00:00;0,38;R;16;R
0123456789;2019-06-23 01:00:00;0,36;R;17;R
0123456789;2019-06-23 00:00:00;0,69;R;18;R
0123456789;2019-06-22 23:00:00;0,37;R;18;R
0123456789;2019-06-22 22:00:00;0,38;R;19;R
0123456789;2019-06-22 21:00:00;1,19;R;20;R
0123456789;2019-06-22 20:00:00;2,14;R;21;R
0123456789;2019-06-22 19:00:00;2,19;R;23;R
0123456789;2019-06-22 18:00:00;0,88;R;25;R
0123456789;2019-06-22 17:00:00;1,27;R;25;R
0123456789;2019-06-22 16:00:00;0,80;R;26;R
0123456789;2019-06-22 15:00:00;0,76;R;27;R
0123456789;2019-06-22 14:00:00;0,51;R;27;R
0123456789;2019-06-22 13:00:00;0,56;R;26;R
0123456789;2019-06-22 12:00:00;1,89;R;26;R
0123456789;2019-06-22 11:00:00;1,43;R;25;R
0123456789;2019-06-22 10:00:00;0,94;R;24;R
0123456789;2019-06-22 09:00:00;1,88;R;23;R
0123456789;2019-06-22 08:00:00;0,58;R;22;R
0123456789;2019-06-22 07:00:00;0,45;R;21;R
0123456789;2019-06-22 06:00:00;0,36;R;19;R
0123456789;2019-06-22 05:00:00;0,34;R;18;R
0123456789;2019-06-22 04:00:00;0,36;R;16;R
0123456789;2019-06-22 03:00:00;0,69;R;16;R
0123456789;2019-06-22 02:00:00;0,35;R;17;R
0123456789;2019-06-22 01:00:00;0,37;R;16;R
0123456789;2019-06-22 00:00:00;0,35;R;17;R
0123456789;2019-06-21 23:00:00;0,38;R;18;R
0123456789;2019-06-21 22:00:00;0,38;R;19;R
0123456789;2019-06-21 21:00:00;0,73;R;19;R
0123456789;2019-06-21 20:00:00;0,91;R;20;R
0123456789;2019-06-21 19:00:00;0,78;R;22;R
0123456789;2019-06-21 18:00:00;0,75;R;24;R
0123456789;2019-06-21 17:00:00;0,44;R;24;R
0123456789;2019-06-21 16:00:00;0,77;R;25;R
0123456789;2019-06-21 15:00:00;0,42;R;25;R
0123456789;2019-06-21 14:00:00;1,59;R;24;R
0123456789;2019-06-21 13:00:00;3,40;R;24;R
0123456789;2019-06-21 12:00:00;0,87;R;24;R
0123456789;2019-06-21 11:00:00;1,76;R;23;R
0123456789;2019-06-21 10:00:00;2,31;R;22;R
0123456789;2019-06-21 09:00:00;0,72;R;21;R
0123456789;2019-06-21 08:00:00;0,45;R;19;R
0123456789;2019-06-21 07:00:00;0,36;R;18;R
0123456789;2019-06-21 06:00:00;0,33;R;18;R
0123456789;2019-06-21 05:00:00;0,82;R;17;R
0123456789;2019-06-21 04:00:00;0,36;R;16;R
0123456789;2019-06-21 03:00:00;0,35;R;15;R
0123456789;2019-06-21 02:00:00;0,37;R;15;R
0123456789;2019-06-21 01:00:00;0,34;R;16;R
0123456789;2019-06-21 00:00:00;0,37;R;16;R
0123456789;2019-06-20 23:00:00;0,38;R;16;R
0123456789;2019-06-20 22:00:00;0,74;R;17;R
0123456789;2019-06-20 21:00:00;0,39;R;17;R
0123456789;2019-06-20 20:00:00;0,50;R;17;R
0123456789;2019-06-20 19:00:00;0,43;R;16;R
0123456789;2019-06-20 18:00:00;0,38;R;16;R
0123456789;2019-06-20 17:00:00;0,69;R;17;R
0123456789;2019-06-20 16:00:00;0,36;R;17;R
0123456789;2019-06-20 15:00:00;0,34;R;17;R
0123456789;2019-06-20 14:00:00;0,38;R;17;R
0123456789;2019-06-20 13:00:00;0,36;R;17;R
0123456789;2019-06-20 12:00:00;1,51;R;17;R
