Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2019-06-25;21,47;R;20;R
0123456789;D;2019-06-24;18,96;R;21;R
0123456789;D;2019-06-23;15,84;R;22;R
0123456789;D;2019-06-22;21,06;R;22;R
0123456789;D;2019-06-21;19,98;R;20;R
0123456789;D;2019-06-20;16,33;R;17;R
0123456789;D;2019-06-19;17,09;R;22;R
0123456789;D;2019-06-18;21,19;R;21;R
0123456789;D;2019-06-17;13,96;R;18;R
0123456789;D;2019-06-16;21,76;R;17;R
0123456789;D;2019-06-15;29,77;R;16;R
0123456789;D;2019-06-14;20,49;R;15;R
0123456789;D;2019-06-13;16,71;R;16;R
0123456789;D;2019-06-12;20,74;R;18;R
0123456789;D;2019-06-11;21,78;R;17;R
0123456789;D;2019-06-10;15,69;R;23;R
0123456789;D;2019-06-09;25,24;R;23;R
0123456789;D;2019-06-08;21,94;R;18;R
0123456789;D;2019-06-07;17,00;R;19;R
0123456789;D;2019-06-06;25,07;R;18;R
0123456789;D;2019-06-05;23,44;R;14;R
0123456789;D;2019-06-04;31,46;R;12;R
0123456789;D;2019-06-03;21,37;R;10;R
0123456789;D;2019-06-02;21,56;R;15;R
0123456789;D;2019-06-01;25,42;R;15;R
0123456789;D;2019-05-31;22,07;R;12;R
0123456789;D;2019-05-30;20,07;R;17;R
0123456789;D;2019-05-29;24,12;R;13;R
0123456789;D;2019-05-28;22,99;R;11;R
0123456789;D;2019-05-27;19,64;R;13;R
0123456789;D;2019-05-26;26,43;R;19;R
0123456789;D;2019-05-25;25,56;R;15;R
0123456789;D;2019-05-24;17,79;R;14;R
0123456789;D;2019-05-23;24,57;R;16;R
0123456789;D;2019-05-22;20,33;R;14;R
0123456789;D;2019-05-21;26,21;R;12;R
0123456789;D;2019-05-20;23,51;R;16;R
0123456789;D;2019-05-19;31,86;R;13;R
0123456789;D;2019-05-18;29,91;R;12;R
0123456789;D;2019-05-17;27,34;R;12;R
0123456789;D;2019-05-16;21,23;R;12;R
0123456789;D;2019-05-15;35,32;R;11;R
0123456789;D;2019-05-14;33,93;R;7;R
0123456789;D;2019-05-13;27,39;R;12;R
0123456789;D;2019-05-12;33,12;R;12;R
0123456789;D;2019-05-11;32,57;R;10;R
0123456789;D;2019-05-10;29,81;R;11;R
0123456789;D;2019-05-09;23,66;R;10;R
0123456789;D;2019-05-08;31,03;R;8;R
0123456789;D;2019-05-07;26,37;R;13;R
0123456789;D;2019-05-06;17,86;R;17;R
0123456789;D;2019-05-05;23,37;R;14;R
0123456789;D;2019-05-04;31,34;R;11;R
0123456789;D;2019-05-03;50,72;R;9;R
0123456789;D;2019-05-02;42,55;R;6;R
0123456789;D;2019-05-01;37,62;R;5;R
0123456789;D;2019-04-30;53,87;R;9;R
0123456789;D;2019-04-29;35,34;R;6;R
0123456789;D;2019-04-28;43,94;R;5;R
0123456789;D;2019-04-27;40,48;R;5;R
0123456789;D;2019-04-26;46,78;R;8;R
0123456789;D;2019-04-25;40,69;R;8;R
