Contrat;Tarif;Date de début;Date de fin;Jour;Date et heure de la dernière relève;kWh;Montant ($);Code de relève;Moyenne $/j;Moyenne kwh/j;Nombre de kWh projeté;Montant projeté ($);Température moyenne (°C)
0123456789;D;2020-06-26;2020-08-25;10;2020-07-05 23:59:00;224;20,30;R;2,03;22,4;1204.0;112,64;23
0123456789;D;2020-04-28;2020-06-25;59;;1784;152,28;R;2,58;30,2;;;16
0123456789;D;2020-02-26;2020-04-27;62;;3881;353,42;R;5,70;62,6;;;2
0123456789;D;2019-12-21;2020-02-25;67;;5675;541,65;R;8,08;84,7;;;-5
0123456789;D;2019-10-25;2019-12-20;57;;4058;377,76;R;6,63;71,2;;;-1
0123456789;D;2019-08-24;2019-10-24;62;;1285;118,81;R;1,92;20,7;;;14
0123456789;D;2019-06-26;2019-08-23;59;;1185;110,41;R;1,87;20,1;;;23
0123456789;D;2019-04-25;2019-06-25;62;;1647;144,11;R;2,32;26,6;;;14
0123456789;D;2019-02-23;2019-04-24;61;;3980;363,85;R;5,96;65,2;;;0
0123456789;D;2018-12-20;2019-02-22;65;;6332;607,97;R;9,35;97,4;;;-9
0123456789;D;2018-10-20;2018-12-19;61;;4514;420,78;R;6,90;74,0;;;-1
0123456789;D;2018-08-21;2018-10-19;60;;1629;138,71;R;2,31;27,2;;;16
0123456789;D;2018-06-19;2018-08-20;63;;1237;113,50;R;1,80;19,6;;;23
