id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
1,"Yannick Picard ","MU","4105, 47e rue (coin Pie IX)","2007","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.58041,-73.622218,"https://depot.ville.montreal.qc.ca/murales/MU-CentreSaintReneGoupil.jpg"
2,"Artducommun","Corporation de développement urbain Faubourg Saint-Laurent","coin des rues Saint-Laurent et Viger","2007","Ville-Marie","Programme graffitis et murales",45.506855,-73.558029,"https://depot.ville.montreal.qc.ca/murales/CDU-MissionOldBrewery–40eExpo67.jpg"
3,"Carlito Dalceggio ","MU","3 601, rue De Bullion (coin Prince-Arthur)","2008","Le Plateau-Mont-Royal","Programme graffitis et murales",45.515387,-73.571347,"https://depot.ville.montreal.qc.ca/murales/MU-PrinceArthur-DeBullion.jpg"
4,"Dominique Desbiens ","MU","7255, Lajeunesse (coin Jean-Talon)","2008","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.539966,-73.614816,"https://depot.ville.montreal.qc.ca/murales/MU-Murale-7255Lajeunesse-Villeray_S.jpg"
5,"Yannick Picard ","MU","8090, rue des Érables","2008","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.555841,-73.616364,"https://depot.ville.montreal.qc.ca/murales/MU-Bouillonsculture-YannickPicard.jpg"
6,"Artducommun","Corporation de développement urbain Faubourg Saint-Laurent","coin des rues Sainte-Catherine et Saint-Dominique","2008","Ville-Marie","Programme graffitis et murales",45.510131,-73.563033,"https://depot.ville.montreal.qc.ca/murales/CDU-ClubSoda.jpg"
7,"Artducommun","SDC du Village","coin des rues Sainte-Catherine et Champlain","2008","Ville-Marie","Programme graffitis et murales",45.52159,-73.552993,"https://depot.ville.montreal.qc.ca/murales/SDCVillage-HotelBourbon.jpg"
8,"Phillip Adams et David Guinn","MU","235-255, rue de Maisonneuve Est","2009","Ville-Marie","Programme graffitis et murales",45.512805,-73.563467,"https://depot.ville.montreal.qc.ca/murales/r_MU_HJM_2009_Winter_Haze_Final_03_XS2.jpg"
9,"Phillip Adams et David Guinn","MU","123-143, rue de Maisonneuve Est","2009","Ville-Marie","Programme graffitis et murales",45.511845,-73.564395,"https://depot.ville.montreal.qc.ca/murales/CHJM_MURAL1.jpg"
10,"Laurent Gascon","Société pour Promouvoir les Arts Gigantesques (SPAG)","coin des rues Ontario et Florian","2009","Ville-Marie","Programme graffitis et murales",45.537347,-73.55023,"https://depot.ville.montreal.qc.ca/murales/SPAG_Vittorio.jpg"
11,"Laurent Gascon","Société pour Promouvoir les Arts Gigantesques (SPAG)","coin des rues Ontario Est et Beaudry","2010","Ville-Marie","Programme graffitis et murales",45.521528,-73.562318,"https://depot.ville.montreal.qc.ca/murales/SPAG-PaulBuissonneau.jpg"
12,"Artducommun","Maison des Jeunes l'Escalier de Lachine","740, rue Esther Blondin, Lachine","2010","Lachine","Programme graffitis et murales",45.443011,-73.682013,"https://depot.ville.montreal.qc.ca/murales/MJE-EcoleDalbeViau.jpg"
13,"Phillip Adams et David Guinn","MU","144-154, boulevard de Maisonneuve Est","2010","Ville-Marie","Programme graffitis et murales",45.5116,-73.563716,"https://depot.ville.montreal.qc.ca/murales/MU-HabitationsJM-2010.jpg"
14,"Annie Hamel ","MU","440, avenue Ball","2010","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.531916,-73.631461,"https://depot.ville.montreal.qc.ca/murales/MU_Parc-Extension-2010.jpg"
15,"Laurence Petit et Christian Robert de Massy","MU","200, rue Ontario Est","2010","Ville-Marie","Programme graffitis et murales",45.513105,-73.564676,"https://depot.ville.montreal.qc.ca/murales/r_MU_HJM_2010_SPIRALES_Final_02_XL.jpg"
16,"Laurent Gascon","Société pour Promouvoir les Arts Gigantesques (SPAG)","1970, rue Ontario Est, entre les rues Dorion et Bordeaux","2011","Ville-Marie","Programme graffitis et murales",45.527265,-73.558309,"https://depot.ville.montreal.qc.ca/murales/SPAG-Raymond-Levesque.jpg"
17,"Fluke, Guillaume Lapointe, Antonin Lambert, Dodo et Bruno Rathbone","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","6310, rue Sherbrooke Ouest, coin Madison","2011","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme graffitis et murales",45.465684,-73.624904,"https://depot.ville.montreal.qc.ca/murales/PrevCDN-NDG-OurLadyofGrace.jpg"
18,"Rafael Sottolichio","MU","450, rue Cherrier (coin Berri)","2011","Le Plateau-Mont-Royal","Programme graffitis et murales",45.518726,-73.569259,"https://depot.ville.montreal.qc.ca/murales/MU_BerriCherrier_Sottolichio.jpg"
19,"Artducommun","RUI St-Pierre","183, rue des Érables","2011","Lachine","Programme graffitis et murales",45.44569,-73.651474,"https://depot.ville.montreal.qc.ca/murales/Murale-Lachine2011.jpg"
20,"Phillip Adams et David Guinn","MU","270-280, boulevard de Maisonneuve Est","2011","Ville-Marie","Programme graffitis et murales",45.512799,-73.562908,"https://depot.ville.montreal.qc.ca/murales/MU-HabitationsJM-2011.jpg"
21,"Richard Morin, Annie Hamel, Florence April-Borgeat, Olivier Roy et Nico","MU","360, rue Laurier Est","2011","Le Plateau-Mont-Royal","Programme graffitis et murales",45.52644,-73.589761,"https://depot.ville.montreal.qc.ca/murales/MU-ENT-2011.jpg"
22,"Gene Pendon et Laurence Petit","MU","1847, terrasse Elgin","2011","Le Sud-Ouest","Programme graffitis et murales",45.489436,-73.572194,"https://depot.ville.montreal.qc.ca/murales/MU-OscarPeterson.jpg"
23,"Phillip Adams","MU","coin des rues Sanguinet et Émery","2012","Ville-Marie","Programme graffitis et murales",45.513933,-73.564416,"https://depot.ville.montreal.qc.ca/murales/MU-HabitationsJM.jpg"
24,"Arnaud Grégoire","MU","12 631, 6350-6358, 6320-6326, avenue Chartrand","2012","Montréal-Nord","Programme graffitis et murales",45.623277,-73.625152,"https://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie1.jpg"
25,"Arnaud Grégoire","MU","12 631, 6350-6358, 6320-6326, avenue Chartrand","2012","Montréal-Nord","Programme graffitis et murales",45.623436,-73.624837,"https://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie2.jpg"
26,"Arnaud Grégoire","MU","12 631, 6350-6358, 6320-6326, avenue Chartrand","2012","Montréal-Nord","Programme graffitis et murales",45.622605,-73.624465,"https://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie3.jpg"
27,"Jeunes résidents de Place Normandie","MU","12 631, 6350-6358, 6320-6326, avenue Chartrand","2012","Montréal-Nord","Programme graffitis et murales",45.623151,-73.624774,"https://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie4.jpg"
28,"Gene Pendon","MU","4201, boulevard Robert ","2012","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.576336,-73.609746,"https://depot.ville.montreal.qc.ca/murales/MU-CentenaireSt-Michel.jpg"
29,"Arpi (René-Pierre Beaudry)","MU","2615, rue Notre-Dame Ouest","2012","Le Sud-Ouest","Programme graffitis et murales",45.48249,-73.576218,"https://depot.ville.montreal.qc.ca/murales/MU-Vamonos.jpg"
30,"A'Shop","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","coin des rues Décarie et Sherbrooke","2012","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme graffitis et murales",45.474627,-73.608797,"https://depot.ville.montreal.qc.ca/murales/PrevCDN-NDG_Ashop2012.jpg"
31,"Laurent Gascon ","Société pour Promouvoir les Arts Gigantesques (SPAG)","2222, rue Ontario Est entre les rues Fullum et Parthenais","2012","Ville-Marie","Programme graffitis et murales",45.529799,-73.555519,"https://depot.ville.montreal.qc.ca/murales/SPAG-Murale-Marjo.jpg"
32,"Nayan","SODER","5776, 2e Avenue (ruelle) ","2012","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.547534,-73.582381,"https://depot.ville.montreal.qc.ca/murales/SODER-Nayan2012.jpg"
33,"Laurent Gascon ","Société pour Promouvoir les Arts Gigantesques (SPAG)","2371, rue Ontario Est","2013","Ville-Marie","Programme graffitis et murales",45.531291,-73.554416,"https://depot.ville.montreal.qc.ca/murales/SPAG-2371OntarioEst.jpg"
34,"Artducommun","Maison des Jeunes l'Escalier de Lachine","357, rue Saint-Jacques","2013","Lachine","Programme graffitis et murales",45.44333,-73.648853,"https://depot.ville.montreal.qc.ca/murales/MJE-357StJacques1.jpg"
